dataset,method,k,X_train_ratio,mae,timestamp
MovieLens100k,item-based,30,0.8,0.9094325750514453,2025-07-29T13:24:04.804108
MovieLens100k,item-based,30,0.7,0.9241981860705706,2025-07-29T13:27:44.627948
MovieLens100k,item-based,30,0.6,0.9379699056436885,2025-07-29T13:32:31.475026
MovieLens100k,item-based,30,0.5,0.9443146093438732,2025-07-29T13:38:01.233642
MovieLens100k,item-based,30,0.4,0.9573851729152725,2025-07-29T13:41:01.091948
MovieLens100k,item-based,30,0.30000000000000004,0.9669278344378336,2025-07-29T13:43:45.707105
MovieLens100k,item-based,30,0.19999999999999996,0.9547304832224268,2025-07-29T13:55:06.863301
MovieLens100k,item-based,30,0.09999999999999998,0.9578433999898585,2025-07-29T13:56:51.573802
